======================================
Simulation Data for Service Time: 11
======================================
N 	 Mean_T		95th_Percentile_T	Mean_D	95th_Percentile_D	P
28 	 29.220000 	 68.250000 	    35.930000 	 68.980000 	 17765.620000
29 	 29.330000 	 105.010000 	    36.170000 	 172.580000 	 17714.700000
30 	 29.530000 	 73.410000 	    36.550000 	 82.220000 	 17845.150000
31 	 29.840000 	 85.720000 	    36.720000 	 113.950000 	 17640.080000
32 	 30.110000 	 64.820000 	    37.370000 	 84.470000 	 18443.720000
33 	 30.180000 	 65.620000 	    37.810000 	 61.140000 	 18735.540000
34 	 30.270000 	 74.530000 	    38.380000 	 143.370000 	 18872.180000
35 	 30.790000 	 69.650000 	    39.620000 	 73.910000 	 17518.010000
36 	 31.160000 	 67.540000 	    41.510000 	 123.530000 	 18397.310000
37 	 31.320000 	 88.890000 	    42.300000 	 176.070000 	 18092.290000
38 	 32.210000 	 76.710000 	    42.590000 	 80.440000 	 18413.290000
39 	 32.400000 	 75.330000 	    42.830000 	 89.890000 	 18087.070000
40 	 32.420000 	 66.800000 	    43.960000 	 126.900000 	 18262.490000
41 	 33.100000 	 66.740000 	    44.650000 	 78.050000 	 18377.970000
42 	 34.040000 	 91.750000 	    45.380000 	 110.670000 	 17556.140000
43 	 34.690000 	 68.710000 	    46.000000 	 172.740000 	 18150.810000
44 	 36.110000 	 96.440000 	    48.610000 	 155.910000 	 17439.460000
45 	 36.770000 	 62.690000 	    51.310000 	 75.370000 	 18332.870000
46 	 37.800000 	 70.060000 	    51.400000 	 62.920000 	 18213.660000
47 	 37.850000 	 63.890000 	    53.020000 	 78.810000 	 18149.270000
48 	 38.670000 	 101.410000 	    53.260000 	 119.700000 	 17336.730000
49 	 48.870000 	 81.500000 	    74.130000 	 135.410000 	 18322.980000
	 Mean		95th_Percentile	Confidence(+)	Confidence(-)
D value: 35.250000 	 53.020000 	 38.130000 	 32.370000
T value: 29.750000 	 37.850000 	 31.030000 	 28.470000
P value: 18153.530000 	     -      	 18302.650000 	 18004.410000
======================================
 
======================================
Simulation Data for Service Time: 15
======================================
N 	 Mean_T		95th_Percentile_T	Mean_D	95th_Percentile_D	P
0 	 31.280000 	 155.180000 	    25.100000 	 213.650000 	 18227.240000
1 	 32.960000 	 122.010000 	    26.330000 	 152.770000 	 18482.030000
2 	 33.000000 	 113.900000 	    27.950000 	 185.280000 	 18262.150000
3 	 33.510000 	 99.920000 	    29.620000 	 196.150000 	 18469.370000
4 	 34.760000 	 114.170000 	    34.000000 	 114.970000 	 17734.180000
5 	 35.820000 	 126.380000 	    34.590000 	 146.120000 	 17612.390000
6 	 36.780000 	 94.730000 	    35.010000 	 105.510000 	 17787.000000
7 	 36.990000 	 105.630000 	    35.190000 	 132.490000 	 18096.280000
8 	 37.000000 	 106.390000 	    35.500000 	 199.030000 	 18135.030000
9 	 37.430000 	 165.130000 	    35.780000 	 261.060000 	 17531.410000
10 	 37.740000 	 97.950000 	    38.920000 	 176.920000 	 18565.760000
11 	 38.220000 	 76.050000 	    39.430000 	 74.990000 	 18412.230000
12 	 38.390000 	 145.590000 	    40.720000 	 168.590000 	 17237.390000
13 	 39.110000 	 99.190000 	    41.220000 	 151.920000 	 17762.760000
14 	 39.530000 	 139.420000 	    42.980000 	 168.650000 	 18499.260000
15 	 39.950000 	 85.720000 	    43.080000 	 78.460000 	 18408.000000
16 	 40.010000 	 84.840000 	    44.210000 	 76.790000 	 17696.420000
17 	 40.050000 	 153.340000 	    44.280000 	 160.220000 	 17056.710000
18 	 40.500000 	 110.440000 	    44.470000 	 98.920000 	 18144.670000
19 	 40.530000 	 95.370000 	    44.530000 	 203.910000 	 18424.080000
20 	 40.720000 	 177.300000 	    45.270000 	 187.750000 	 17493.430000
21 	 41.570000 	 96.160000 	    47.110000 	 110.110000 	 18548.090000
22 	 41.780000 	 73.410000 	    47.360000 	 75.910000 	 19018.460000
23 	 42.210000 	 125.260000 	    48.030000 	 159.590000 	 17614.050000
24 	 42.400000 	 83.750000 	    48.790000 	 175.250000 	 18398.160000
25 	 42.430000 	 125.170000 	    50.870000 	 129.310000 	 17967.590000
26 	 43.540000 	 136.100000 	    51.800000 	 158.510000 	 17478.390000
27 	 43.920000 	 130.410000 	    51.900000 	 168.640000 	 17237.480000
28 	 44.920000 	 156.240000 	    52.010000 	 189.860000 	 18105.720000
29 	 45.290000 	 138.970000 	    52.190000 	 148.250000 	 16892.910000
30 	 46.020000 	 121.590000 	    52.500000 	 172.760000 	 18693.430000
31 	 46.740000 	 124.480000 	    52.630000 	 225.280000 	 18071.890000
32 	 46.930000 	 84.370000 	    53.190000 	 124.050000 	 18684.690000
33 	 47.190000 	 111.500000 	    53.730000 	 113.180000 	 17818.270000
34 	 47.600000 	 146.380000 	    54.630000 	 167.310000 	 17672.000000
35 	 48.260000 	 156.160000 	    54.730000 	 230.060000 	 17618.930000
36 	 49.030000 	 103.370000 	    55.290000 	 113.180000 	 18200.370000
37 	 49.050000 	 123.400000 	    55.370000 	 187.540000 	 17430.940000
38 	 49.340000 	 125.570000 	    55.660000 	 157.810000 	 17917.400000
39 	 49.670000 	 256.150000 	    57.330000 	 371.370000 	 17486.520000
40 	 51.410000 	 130.810000 	    58.970000 	 199.220000 	 18261.300000
41 	 51.610000 	 152.910000 	    61.960000 	 171.010000 	 17089.020000
42 	 52.530000 	 103.110000 	    63.670000 	 157.350000 	 17984.120000
43 	 54.040000 	 86.030000 	    63.860000 	 99.350000 	 18313.410000
44 	 54.530000 	 96.800000 	    66.030000 	 170.250000 	 18834.510000
45 	 55.410000 	 141.710000 	    66.710000 	 218.380000 	 17731.210000
46 	 55.960000 	 92.280000 	    67.410000 	 80.630000 	 17832.740000
47 	 57.500000 	 129.590000 	    67.630000 	 213.530000 	 17865.020000
48 	 58.700000 	 96.690000 	    70.470000 	 161.190000 	 18473.060000
49 	 77.250000 	 95.420000 	    103.520000 	 98.440000 	 18686.010000
	 Mean		95th_Percentile	Confidence(+)	Confidence(-)
D value: 49.470000 	 67.630000 	 53.260000 	 45.680000
T value: 44.420000 	 57.500000 	 46.720000 	 42.120000
P value: 17999.270000 	     -      	 18136.120000 	 17862.420000
======================================
 
======================================
Simulation Data for Service Time: 16
======================================
N 	 Mean_T		95th_Percentile_T	Mean_D	95th_Percentile_D	P
0 	 44.870000 	 193.750000 	    38.100000 	 225.130000 	 18123.730000
1 	 46.450000 	 164.920000 	    38.810000 	 238.550000 	 18569.010000
2 	 46.490000 	 214.670000 	    41.350000 	 299.360000 	 18155.650000
3 	 48.590000 	 251.930000 	    43.030000 	 284.650000 	 16907.960000
4 	 48.600000 	 166.500000 	    45.220000 	 150.960000 	 18633.650000
5 	 50.210000 	 128.280000 	    47.490000 	 118.450000 	 18737.700000
6 	 51.240000 	 176.510000 	    49.520000 	 291.590000 	 18302.550000
7 	 52.540000 	 235.950000 	    50.020000 	 258.330000 	 17556.440000
8 	 53.010000 	 105.150000 	    50.140000 	 139.680000 	 18769.100000
9 	 53.970000 	 164.540000 	    51.180000 	 203.160000 	 18448.470000
10 	 55.260000 	 248.140000 	    53.110000 	 268.120000 	 17636.660000
11 	 56.040000 	 258.250000 	    54.040000 	 257.910000 	 17242.970000
12 	 56.790000 	 170.820000 	    54.530000 	 167.830000 	 17456.090000
13 	 56.830000 	 195.140000 	    54.950000 	 260.330000 	 17395.750000
14 	 56.940000 	 279.340000 	    56.680000 	 447.120000 	 18206.060000
15 	 57.710000 	 155.430000 	    58.520000 	 220.330000 	 17730.020000
16 	 57.920000 	 141.560000 	    59.410000 	 143.150000 	 18368.630000
17 	 58.000000 	 830.560000 	    59.710000 	 964.850000 	 17943.550000
18 	 58.490000 	 133.190000 	    63.540000 	 197.620000 	 18626.400000
19 	 59.250000 	 232.610000 	    64.370000 	 287.330000 	 17746.930000
20 	 60.080000 	 196.510000 	    64.770000 	 233.270000 	 18627.820000
21 	 61.270000 	 156.490000 	    65.530000 	 169.290000 	 17677.440000
22 	 61.850000 	 157.900000 	    65.950000 	 222.310000 	 18878.030000
23 	 62.930000 	 161.380000 	    67.230000 	 183.160000 	 18082.260000
24 	 64.030000 	 123.320000 	    69.560000 	 180.880000 	 18785.300000
25 	 65.710000 	 121.110000 	    71.220000 	 144.710000 	 17931.210000
26 	 65.990000 	 197.310000 	    71.400000 	 233.330000 	 17403.820000
27 	 66.300000 	 216.710000 	    71.580000 	 266.460000 	 18197.240000
28 	 66.370000 	 163.940000 	    72.080000 	 246.480000 	 18303.540000
29 	 66.570000 	 367.330000 	    72.890000 	 426.020000 	 17032.310000
30 	 68.680000 	 141.050000 	    73.280000 	 138.510000 	 18414.870000
31 	 69.900000 	 224.300000 	    74.570000 	 236.250000 	 17623.710000
32 	 70.560000 	 165.590000 	    76.100000 	 266.080000 	 17887.750000
33 	 70.910000 	 193.250000 	    76.340000 	 218.450000 	 17870.690000
34 	 72.610000 	 251.130000 	    78.630000 	 308.970000 	 17956.860000
35 	 73.540000 	 165.890000 	    81.390000 	 188.460000 	 18242.460000
36 	 74.550000 	 197.060000 	    81.760000 	 249.930000 	 18054.930000
37 	 74.870000 	 217.430000 	    82.360000 	 287.630000 	 17555.500000
38 	 77.280000 	 302.970000 	    82.710000 	 295.660000 	 17025.240000
39 	 78.800000 	 144.940000 	    84.060000 	 181.370000 	 17927.620000
40 	 79.260000 	 118.550000 	    85.250000 	 102.660000 	 18674.390000
41 	 82.650000 	 124.010000 	    85.830000 	 166.120000 	 18880.200000
42 	 84.020000 	 211.020000 	    86.960000 	 258.040000 	 18279.560000
43 	 84.910000 	 231.360000 	    91.290000 	 419.880000 	 18257.000000
44 	 85.130000 	 284.240000 	    92.820000 	 573.150000 	 17534.550000
45 	 89.020000 	 122.530000 	    110.680000 	 122.470000 	 18146.640000
